ind,subject,predicate,object,qualifier,qualifier value,reference,reference value
0,利州,replaced by,直隶州,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_44089
0,利州,replaced by,直隶州,,,stated in,《明统志》
0,利州,replaced by,直隶州,,,stated in,《明史》
1,利州,located in the present-day administrative territorial entity,广西壮族自治区,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_44089
1,利州,located in the present-day administrative territorial entity,广西壮族自治区,,,stated in,《嘉庆一统志》
2,利州,located in the administrative territorial entity,邕州横山寨,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_44089
2,利州,located in the administrative territorial entity,邕州横山寨,,,stated in,《明统志》
3,利州,located in the administrative territorial entity,来安路,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_44089
3,利州,located in the administrative territorial entity,来安路,,,stated in,《元胜览》
4,利州,start time,1278,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_44089
5,利州,end time,1373,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_44089
