ind,subject,predicate,object,qualifier,qualifier value,reference,reference value,Object Corrected?,Qualifier Corrected?,Mistake Category,Note
0,铅山州,dynasty,元,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206,,,,
0,铅山州,dynasty,元,,,stated in,《元史》,,,,
1,铅山州,dynasty,明,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206,,,,
1,铅山州,dynasty,明,,,stated in,《明史》,,,,
2,铅山州,replaced by,铅山县,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206,,,,
3,铅山州,located in the present-day administrative territorial entity,江西省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206,,,,
3,铅山州,located in the present-day administrative territorial entity,江西省,,,stated in,《清嘉庆一统志》,,,,
4,铅山州,located in the administrative territorial entity,江淮行省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206,,,,
4,铅山州,located in the administrative territorial entity,江淮行省,,,stated in,《元史》,,,,
5,铅山州,located in the administrative territorial entity,江浙行省,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206,,,,
5,铅山州,located in the administrative territorial entity,江浙行省,,,stated in,《元史》,,,,
6,铅山州,located in the administrative territorial entity,信州路,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206,,,,
6,铅山州,located in the administrative territorial entity,信州路,,,stated in,《元史》,,,,
7,铅山州,located in the administrative territorial entity,广信府,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206,,,,
7,铅山州,located in the administrative territorial entity,广信府,,,stated in,《明史》,,,,
8,铅山州,start time,1277,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206,,,,
9,铅山州,end time,1368,,,reference URL,https://maps.cga.harvard.edu/tgaz/placename/hvd_41206,,,,
